evidence_id,fragment_id,document_id,role,value,source_span,confidence,linked_question_prototypes
ev_00383,frag_00713,doc_0141,audience,the stated audience,We expect the total amount of tax contingencies will decrease by approximately $3.5 million in 2020 based on statute of…,0.665,"[""qproto_006_applicability_check""]"
ev_00384,frag_00714,doc_0141,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00385,frag_00714,doc_0141,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00386,frag_00716,doc_0141,exception,that the denominator is increased to include the number of additional common sh…,The computation of diluted EPS is similar to the computation of basic EPS except that the denominator is increased to i…,0.684,"[""qproto_004_exception_lookup""]"
ev_00387,frag_00716,doc_0141,condition,that the denominator is increased to include the number of …,The computation of diluted EPS is similar to the computation of basic EPS except that the denominator is increased to i…,0.684,"[""qproto_004_exception_lookup""]"
ev_00388,frag_00719,doc_0141,amount_threshold,$ 1.47,$ 1.47,0.741,"[""qproto_001_threshold_lookup""]"
ev_00389,frag_00722,doc_0141,amount_threshold,$50.0 million,$50.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00390,frag_00735,doc_0145,amount_threshold,$25.0 million,$25.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00391,frag_00735,doc_0145,amount_threshold,$50.0 million,$50.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00392,frag_00737,doc_0145,amount_threshold,$25.0,$25.0,0.741,"[""qproto_001_threshold_lookup""]"
ev_00393,frag_00738,doc_0145,rule,The 2016 Credit Facility required us to maintain compliance with customary affi…,"The 2016 Credit Facility required us to maintain compliance with customary affirmative and negative covenants, includin…",0.589,"[""qproto_003_rule_lookup""]"
ev_00394,frag_00753,doc_0147,amount_threshold,$0.7 million,$0.7 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00395,frag_00754,doc_0147,amount_threshold,$0.7,$0.7,0.741,"[""qproto_001_threshold_lookup""]"
ev_00396,frag_00759,doc_0149,metric,Gross margin,Gross margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00397,frag_00759,doc_0149,value,"$ 468,999","$ 468,999",0.76,"[""qproto_002_metric_lookup""]"
ev_00398,frag_00760,doc_0151,amount_threshold,"$ 140,233","$ 140,233",0.741,"[""qproto_001_threshold_lookup""]"
ev_00399,frag_00761,doc_0151,amount_threshold,$16.1 million,$16.1 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00400,frag_00764,doc_0151,variance_driver,changes in the fair value of earn-out liabilities of $4,changes in the fair value of earn-out liabilities of $4,0.665,"[""qproto_005_variance_explanation""]"
ev_00401,frag_00765,doc_0151,variance_driver,$16,$16,0.665,"[""qproto_005_variance_explanation""]"
ev_00402,frag_00766,doc_0151,variance_driver,$145,$145,0.665,"[""qproto_005_variance_explanation""]"
ev_00403,frag_00769,doc_0153,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00404,frag_00769,doc_0153,value,10%,10%,0.76,"[""qproto_002_metric_lookup""]"
ev_00405,frag_00772,doc_0153,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00406,frag_00772,doc_0153,value,13%,13%,0.76,"[""qproto_002_metric_lookup""]"
ev_00407,frag_00778,doc_0155,metric,Gross Margin,Gross Margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00408,frag_00778,doc_0155,value,"$ 132,426","$ 132,426",0.76,"[""qproto_002_metric_lookup""]"
ev_00409,frag_00779,doc_0155,metric,gross margin,gross margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00410,frag_00779,doc_0155,value,$19.0 million,$19.0 million,0.76,"[""qproto_002_metric_lookup""]"
ev_00411,frag_00780,doc_0155,amount_threshold,"$ 183,385","$ 183,385",0.741,"[""qproto_001_threshold_lookup""]"
ev_00412,frag_00785,doc_0157,amount_threshold,"$250,000","$250,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00413,frag_00790,doc_0157,amount_threshold,"$ 3,445","$ 3,445",0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00414,frag_00790,doc_0157,metric,revenue,revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00415,frag_00790,doc_0157,value,"$ 3,445","$ 3,445",0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00416,frag_00792,doc_0157,amount_threshold,$0.6 million,$0.6 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00417,frag_00796,doc_0157,amount_threshold,"$264,000","$264,000",0.741,"[""qproto_001_threshold_lookup""]"
ev_00418,frag_00797,doc_0157,rule,"On an ongoing basis, the Company reviews intangible assets with a definite life…","On an ongoing basis, the Company reviews intangible assets with a definite life and other long-lived assets for impairm…",0.589,"[""qproto_003_rule_lookup""]"
ev_00419,frag_00799,doc_0157,amount_threshold,$ 656,$ 656,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00420,frag_00799,doc_0157,metric,Revenue,Revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00421,frag_00799,doc_0157,value,$ 656,$ 656,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00422,frag_00808,doc_0159,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00423,frag_00808,doc_0159,value,"$ 1,310.2","$ 1,310.2",0.76,"[""qproto_002_metric_lookup""]"
ev_00424,frag_00820,doc_0161,amount_threshold,$985.0 million,$985.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00425,frag_00822,doc_0161,rule,"Depending on certain growth opportunities, we pages.[0].blocks.[9].words.word_l…","Depending on certain growth opportunities, we pages.[0].blocks.[9].words.word_list.[0] = We pages.[0].blocks.[9].words.…",0.589,"[""qproto_003_rule_lookup""]"
ev_00426,frag_00826,doc_0161,rule,"In addition, we may enter into agreements or letters of intent with respect to …","In addition, we may enter into agreements or letters of intent with respect to potential investments in, or acquisition…",0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00427,frag_00826,doc_0161,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00428,frag_00826,doc_0161,value,"$ 115,549","$ 115,549",0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00429,frag_00832,doc_0165,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00430,frag_00832,doc_0165,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00431,frag_00833,doc_0165,exception,previously utilized,previously utilized,0.684,"[""qproto_004_exception_lookup""]"
ev_00432,frag_00833,doc_0165,condition,previously utilized,previously utilized,0.684,"[""qproto_004_exception_lookup""]"
ev_00433,frag_00834,doc_0165,exception,previously utilized,previously utilized,0.684,"[""qproto_004_exception_lookup""]"
ev_00434,frag_00834,doc_0165,condition,previously utilized,previously utilized,0.684,"[""qproto_004_exception_lookup""]"
ev_00435,frag_00835,doc_0165,amount_threshold,$24.5 million,$24.5 million,0.741,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00436,frag_00835,doc_0165,exception,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00437,frag_00835,doc_0165,condition,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00438,frag_00836,doc_0165,rule,Forming a conclusion that a valuation allowance is not required is difficult wh…,Forming a conclusion that a valuation allowance is not required is difficult when there is negative evidence such as cu…,0.589,"[""qproto_003_rule_lookup""]"
ev_00439,frag_00839,doc_0165,amount_threshold,$51.2,$51.2,0.741,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00440,frag_00839,doc_0165,rule,The Company does not incur expense or benefit in certain tax-free jurisdictions…,The Company does not incur expense or benefit in certain tax-free jurisdictions in which it operates. pages.[0].blocks.…,0.589,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00441,frag_00849,doc_0167,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00442,frag_00849,doc_0167,value,"$167,735","$167,735",0.76,"[""qproto_002_metric_lookup""]"
ev_00443,frag_00850,doc_0169,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00444,frag_00850,doc_0169,value,100 %,100 %,0.76,"[""qproto_002_metric_lookup""]"
ev_00445,frag_00851,doc_0169,amount_threshold,"$ 3,123","$ 3,123",0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00446,frag_00851,doc_0169,exception,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00447,frag_00851,doc_0169,condition,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00448,frag_00851,doc_0169,metric,revenue,revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00449,frag_00851,doc_0169,value,"$ 3,123","$ 3,123",0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00450,frag_00852,doc_0169,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00451,frag_00852,doc_0169,value,46%,46%,0.76,"[""qproto_002_metric_lookup""]"
ev_00452,frag_00854,doc_0169,amount_threshold,"$ 10,310","$ 10,310",0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00453,frag_00854,doc_0169,exception,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00454,frag_00854,doc_0169,condition,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00455,frag_00854,doc_0169,metric,Revenue,Revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00456,frag_00854,doc_0169,value,"$ 10,310","$ 10,310",0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00457,frag_00861,doc_0173,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_010_variance_explanation""]"
ev_00458,frag_00861,doc_0173,value,"$ 6,489","$ 6,489",0.76,"[""qproto_002_metric_lookup"", ""qproto_010_variance_explanation""]"
ev_00459,frag_00861,doc_0173,variance,pages.[0].bbox.[0] = 0 pages.[0].bbox.[1] = 0 pages.[0].bbox.[2] = 1240 pages.[…,pages.[0].bbox.[0] = 0 pages.[0].bbox.[1] = 0 pages.[0].bbox.[2] = 1240 pages.[0].bbox.[3] = 1610 pages.[0].blocks.[0].…,0.665,"[""qproto_002_metric_lookup"", ""qproto_010_variance_explanation""]"
ev_00460,frag_00862,doc_0173,variance_driver,various other franchises and titles,various other franchises and titles,0.665,"[""qproto_005_variance_explanation""]"
ev_00461,frag_00869,doc_0175,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00462,frag_00869,doc_0175,value,$ 822,$ 822,0.76,"[""qproto_002_metric_lookup""]"
ev_00463,frag_00877,doc_0179,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00464,frag_00877,doc_0179,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00465,frag_00880,doc_0179,amount_threshold,$2.4 million,$2.4 million,0.741,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00466,frag_00880,doc_0179,rule,"A number of leases require the Company to pay certain executory costs (taxes, i…","A number of leases require the Company to pay certain executory costs (taxes, insurance, and maintenance) and contain c…",0.589,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00467,frag_00881,doc_0179,amount_threshold,$13.3 million,$13.3 million,0.741,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00468,frag_00881,doc_0179,rule,Annual rental expenses for operating leases were included in results of operati…,"Annual rental expenses for operating leases were included in results of operations and were $13.3 million, $10.7 millio…",0.589,"[""qproto_001_threshold_lookup"", ""qproto_003_rule_lookup""]"
ev_00469,frag_00897,doc_0183,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00470,frag_00897,doc_0183,value,"$ 2,205,348","$ 2,205,348",0.76,"[""qproto_002_metric_lookup""]"
ev_00471,frag_00902,doc_0185,variance_driver,the growing adoption of cloud computing and increased consumer intern…,"Driven by the growing adoption of cloud computing and increased consumer internet traffic, market demand for server and…",0.665,"[""qproto_005_variance_explanation""]"
ev_00472,frag_00906,doc_0185,variance_driver,networking investments by telecom service providers and enterprises u…,"In networking, demand is driven by networking investments by telecom service providers and enterprises upgrading of the…",0.665,"[""qproto_005_variance_explanation""]"
ev_00473,frag_00907,doc_0185,region,us,us,0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00474,frag_00907,doc_0185,amount_threshold,"$ 788,948","$ 788,948",0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00475,frag_00907,doc_0185,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00476,frag_00907,doc_0185,value,"$ 788,948","$ 788,948",0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00477,frag_00924,doc_0185,metric,operating expenses,operating expenses,0.76,"[""qproto_002_metric_lookup""]"
ev_00478,frag_00924,doc_0185,value,"$ 261,264","$ 261,264",0.76,"[""qproto_002_metric_lookup""]"
ev_00479,frag_00931,doc_0187,rule,Due to their limited investor base and the face value of some of our senior not…,"Due to their limited investor base and the face value of some of our senior notes, they may not be actively traded on t…",0.589,"[""qproto_003_rule_lookup""]"
ev_00480,frag_00933,doc_0187,scope,the stated audience,We also incorporated our credit default swap rates and currency specific swap rates in the valuation of each debt instr…,0.665,"[""qproto_006_applicability_check""]"
ev_00481,frag_00933,doc_0187,audience,the stated audience,We also incorporated our credit default swap rates and currency specific swap rates in the valuation of each debt instr…,0.665,"[""qproto_006_applicability_check""]"
ev_00482,frag_00934,doc_0187,region,US,US,0.741,"[""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00483,frag_00934,doc_0187,amount_threshold,$ 474.6,$ 474.6,0.741,"[""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00484,frag_00934,doc_0187,rule,Changes in assumptions could significantly affect our estimates. pages.[0].bloc…,Changes in assumptions could significantly affect our estimates. pages.[0].blocks.[10].words.word_list.[0] = These page…,0.589,"[""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00485,frag_00936,doc_0187,rule,Included among our non-financial assets and liabilities that are not required t…,Included among our non-financial assets and liabilities that are not required to be measured at fair value on a recurri…,0.589,"[""qproto_003_rule_lookup""]"
ev_00486,frag_00940,doc_0187,rule,We do not use derivative financial instruments for trading or other speculative…,We do not use derivative financial instruments for trading or other speculative purposes and do not use leveraged deriv…,0.589,"[""qproto_003_rule_lookup""]"
ev_00487,frag_00942,doc_0187,rule,Our sales are not materially dependent on a single customer or a small group of…,Our sales are not materially dependent on a single customer or a small group of customers. pages.[1].blocks.[22].words.…,0.589,"[""qproto_003_rule_lookup""]"
ev_00488,frag_00956,doc_0189,exception,legally required,legally required,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00489,frag_00956,doc_0189,condition,legally required,legally required,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00490,frag_00956,doc_0189,rule,"Due to the FCC’s rules restricting communications regarding the auction, we wil…","Due to the FCC’s rules restricting communications regarding the auction, we will not disclose our financial plans for t…",0.589,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00491,frag_00957,doc_0189,scope,the stated audience,"Such gain or loss, if any, may be material. pages.[0].blocks.[17].words.word_list.[0] = In pages.[0].blocks.[17].words.…",0.665,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup"", ""qproto_006_applicability_check""]"
ev_00492,frag_00957,doc_0189,audience,the stated audience,"Such gain or loss, if any, may be material. pages.[0].blocks.[17].words.word_list.[0] = In pages.[0].blocks.[17].words.…",0.665,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup"", ""qproto_006_applicability_check""]"
ev_00493,frag_00957,doc_0189,exception,pages,pages,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup"", ""qproto_006_applicability_check""]"
ev_00494,frag_00957,doc_0189,condition,pages,pages,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup"", ""qproto_006_applicability_check""]"
ev_00495,frag_00957,doc_0189,rule,"Such gain or loss, if any, may be material. pages.[0].blocks.[17].words.word_li…","Such gain or loss, if any, may be material. pages.[0].blocks.[17].words.word_list.[0] = In pages.[0].blocks.[17].words.…",0.589,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup"", ""qproto_006_applicability_check""]"
ev_00496,frag_00960,doc_0191,rule,pages.[0].bbox.[0] = 0 pages.[0].bbox.[1] = 0 pages.[0].bbox.[2] = 1240 pages.[…,pages.[0].bbox.[0] = 0 pages.[0].bbox.[1] = 0 pages.[0].bbox.[2] = 1240 pages.[0].bbox.[3] = 1610 pages.[0].blocks.[0].…,0.589,"[""qproto_003_rule_lookup""]"
ev_00497,frag_00962,doc_0191,variance_driver,a $111,a $111,0.665,"[""qproto_005_variance_explanation""]"
ev_00498,frag_00964,doc_0191,variance_driver,a $10,a $10,0.665,"[""qproto_005_variance_explanation""]"
ev_00499,frag_00966,doc_0191,variance_driver,a $15,a $15,0.665,"[""qproto_005_variance_explanation""]"
ev_00500,frag_00967,doc_0191,metric,Gross Margin,Gross Margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00501,frag_00967,doc_0191,value,$5.5 million,$5.5 million,0.76,"[""qproto_002_metric_lookup""]"
ev_00502,frag_00968,doc_0191,metric,Gross margin,Gross margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00503,frag_00968,doc_0191,value,35.1%,35.1%,0.76,"[""qproto_002_metric_lookup""]"
ev_00504,frag_00983,doc_0193,amount_threshold,$61.2 million,$61.2 million,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00505,frag_00983,doc_0193,metric,revenue,revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00506,frag_00983,doc_0193,value,$61.2 million,$61.2 million,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00507,frag_00984,doc_0193,amount_threshold,$61.2,$61.2,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00508,frag_00984,doc_0193,metric,services revenue,services revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00509,frag_00984,doc_0193,value,29%,29%,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00510,frag_00985,doc_0193,rule,The Group does not require collateral in respect of financial assets. pages.[0]…,The Group does not require collateral in respect of financial assets. pages.[0].blocks.[31].words.word_list.[0] = The p…,0.589,"[""qproto_003_rule_lookup""]"
ev_00511,frag_00989,doc_0195,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00512,frag_00989,doc_0195,value,$ 266,$ 266,0.76,"[""qproto_002_metric_lookup""]"
ev_00513,frag_00990,doc_0195,effective_date,"December 22, 2017","December 22, 2017",0.807,"[""qproto_002_metric_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00514,frag_00990,doc_0195,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00515,frag_00990,doc_0195,value,$48 million,$48 million,0.76,"[""qproto_002_metric_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00516,frag_00992,doc_0195,effective_date,"January 1, 2018","January 1, 2018",0.807,"[""qproto_007_effective_date_lookup""]"
ev_00517,frag_00996,doc_0195,region,global,global,0.741,"[""qproto_008_threshold_lookup""]"
ev_00518,frag_00996,doc_0195,amount_threshold,$5 million,$5 million,0.741,"[""qproto_008_threshold_lookup""]"
ev_00519,frag_00999,doc_0195,region,global,global,0.741,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00520,frag_00999,doc_0195,amount_threshold,$18 million,$18 million,0.741,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00521,frag_00999,doc_0195,rule,"During fiscal 2017, we adopted a new accounting standard that simplifies stock-…","During fiscal 2017, we adopted a new accounting standard that simplifies stock-based compensation income tax accounting…",0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00522,frag_00999,doc_0195,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00523,frag_00999,doc_0195,value,$18 million,$18 million,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup"", ""qproto_008_threshold_lookup""]"
ev_00524,frag_01002,doc_0195,exception,the stated condition,Certain acquired net operating loss and credit carryforwards are subject to an annual limitation under Internal Revenue…,0.684,"[""qproto_004_exception_lookup""]"
ev_00525,frag_01002,doc_0195,condition,the stated condition,Certain acquired net operating loss and credit carryforwards are subject to an annual limitation under Internal Revenue…,0.684,"[""qproto_004_exception_lookup""]"
ev_00526,frag_01003,doc_0195,amount_threshold,$2,$2,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00527,frag_01003,doc_0195,exception,the stated condition,The California research credit and Dutch foreign tax credit carryforwards do not expire. pages.[1].blocks.[20].words.wo…,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00528,frag_01003,doc_0195,condition,the stated condition,The California research credit and Dutch foreign tax credit carryforwards do not expire. pages.[1].blocks.[20].words.wo…,0.684,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00529,frag_01003,doc_0195,metric,Revenue,Revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00530,frag_01003,doc_0195,value,$2,$2,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00531,frag_01013,doc_0199,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00532,frag_01013,doc_0199,value,"$ 130,000","$ 130,000",0.76,"[""qproto_002_metric_lookup""]"
ev_00533,frag_01019,doc_0199,sla,45 days,45 days,0.741,"[""qproto_012_sla_lookup""]"
ev_00534,frag_01032,doc_0201,amount_threshold,$250 million,$250 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00535,frag_01033,doc_0201,amount_threshold,$150 million,$150 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00536,frag_01040,doc_0203,scope,the stated audience,"EXHIBITS, FINANCIAL STATEMENT SCHEDULES. pages.[0].blocks.[16].words.word_list.[0] = Item pages.[0].blocks.[16].words.w…",0.665,"[""qproto_003_rule_lookup"", ""qproto_006_applicability_check""]"
ev_00537,frag_01040,doc_0203,audience,the stated audience,"EXHIBITS, FINANCIAL STATEMENT SCHEDULES. pages.[0].blocks.[16].words.word_list.[0] = Item pages.[0].blocks.[16].words.w…",0.665,"[""qproto_003_rule_lookup"", ""qproto_006_applicability_check""]"
ev_00538,frag_01040,doc_0203,rule,"EXHIBITS, FINANCIAL STATEMENT SCHEDULES. pages.[0].blocks.[16].words.word_list.…","EXHIBITS, FINANCIAL STATEMENT SCHEDULES. pages.[0].blocks.[16].words.word_list.[0] = Item pages.[0].blocks.[16].words.w…",0.589,"[""qproto_003_rule_lookup"", ""qproto_006_applicability_check""]"
ev_00539,frag_01042,doc_0205,amount_threshold,$158.5 million,$158.5 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00540,frag_01043,doc_0205,region,United States,United States,0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00541,frag_01043,doc_0205,amount_threshold,$468.8,$468.8,0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00542,frag_01043,doc_0205,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00543,frag_01043,doc_0205,value,$468.8,$468.8,0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00544,frag_01049,doc_0205,amount_threshold,"$ 1,452.4","$ 1,452.4",0.741,"[""qproto_001_threshold_lookup""]"
ev_00545,frag_01051,doc_0207,rule,"A determination of the amount of an accrual required, if any, for these conting…","A determination of the amount of an accrual required, if any, for these contingencies is made after the analysis of eac…",0.589,"[""qproto_003_rule_lookup""]"
ev_00546,frag_01052,doc_0207,rule,"As additional information becomes available, we reassess the potential liabilit…","As additional information becomes available, we reassess the potential liability related to our pending claims and liti…",0.589,"[""qproto_003_rule_lookup""]"
ev_00547,frag_01054,doc_0207,rule,"In addition, companies are required to capitalize certain contract acquisition …","In addition, companies are required to capitalize certain contract acquisition costs, including commissions paid, when …",0.589,"[""qproto_003_rule_lookup""]"
ev_00548,frag_01055,doc_0207,rule,The asset recognized from capitalized incremental and recoverable acquisition c…,The asset recognized from capitalized incremental and recoverable acquisition costs is amortized on a straight-line bas…,0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00549,frag_01055,doc_0207,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00550,frag_01055,doc_0207,value,$47 million,$47 million,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00551,frag_01056,doc_0207,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00552,frag_01056,doc_0207,value,$47,$47,0.76,"[""qproto_002_metric_lookup""]"
ev_00553,frag_01064,doc_0209,region,USA,USA,0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00554,frag_01064,doc_0209,amount_threshold,"$ 1,659","$ 1,659",0.741,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00555,frag_01064,doc_0209,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00556,frag_01064,doc_0209,value,"$ 1,659","$ 1,659",0.76,"[""qproto_002_metric_lookup"", ""qproto_008_threshold_lookup""]"
ev_00557,frag_01069,doc_0211,amount_threshold,$2.6 million,$2.6 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00558,frag_01075,doc_0211,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00559,frag_01075,doc_0211,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00560,frag_01076,doc_0213,amount_threshold,$2.0 million,$2.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00561,frag_01077,doc_0213,region,United States,United States,0.741,"[""qproto_008_threshold_lookup""]"
ev_00562,frag_01077,doc_0213,amount_threshold,$21.6 million,$21.6 million,0.741,"[""qproto_008_threshold_lookup""]"
